Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
North America,Canada,Vegetables,Offline,H,12/12/2015,892146708,12/16/2015,141,138.31,82.83,19501.26,11678.41,7822.85
Central America and the Caribbean,Costa Rica,Household,Online,M,04/12/2015,327744494,05/11/2015,7312,599.56,500.89,4384014.02,3662529.88,721484.14
Europe,Montenegro,Vegetables,Online,L,12/16/2011,629237254,12/27/2011,7053,132.46,86.32,934243.76,608779.76,325464.0
Sub-Saharan Africa,Senegal,Snacks,Online,C,01/12/2014,473829493,01/16/2014,1799,165.59,92.6,297897.44,166581.43,131316.01
Central America and the Caribbean,Cuba,Meat,Offline,H,04/25/2016,676412373,05/16/2016,9436,401.95,329.84,3792784.88,3112399.86,680385.02
Europe,Greece,Personal Care,Offline,M,08/06/2012,544191439,08/30/2012,1073,76.74,58.09,82339.24,62326.04,20013.2
Europe,Estonia,Vegetables,Online,H,05/10/2014,510321041,06/04/2014,5011,147.84,89.13,740801.57,446639.54,294162.03
Europe,France,Baby Food,Offline,C,06/03/2014,251861908,07/06/2014,8854,135.89,92.56,1203138.6,819486.28,383652.32
Middle East and North Africa,Morocco,Snacks,Offline,M,01/05/2014,205399615,01/30/2014,4359,161.07,93.18,702095.07,406180.58,295914.48
Australia and Oceania,Fiji,Beverages,Offline,L,04/03/2012,491228695,05/12/2012,2350,41.67,31.35,97927.4,73663.18,24264.22
Europe,Spain,Vegetables,Online,L,12/19/2011,924063874,01/24/2012,73,137.32,85.08,10024.21,6210.83,3813.39
Sub-Saharan Africa,Kenya,Vegetables,Offline,L,04/07/2013,828437691,04/09/2013,2476,134.18,90.72,332229.49,224623.25,107606.24
Australia and Oceania,Papua New Guinea,Cereal,Offline,M,01/10/2016,917439061,01/13/2016,5250,206.74,113.56,1085365.42,596192.43,489173.0
Sub-Saharan Africa,Eritrea,Cereal,Offline,M,04/26/2011,445637525,05/04/2011,3375,171.04,110.79,577266.8,373910.21,203356.6
Australia and Oceania,Australia,Personal Care,Offline,C,11/01/2013,318412431,11/18/2013,3720,87.91,59.7,327021.48,222080.12,104941.36
Central America and the Caribbean,Haiti,Fruits,Offline,C,09/21/2012,860213351,09/26/2012,8556,67.26,46.54,575510.72,398230.69,177280.03
Middle East and North Africa,Egypt,Office Supplies,Offline,C,03/30/2014,129370827,04/15/2014,9716,667.86,453.62,6488883.34,4407333.43,2081549.91
Sub-Saharan Africa,Kenya,Cereal,Offline,M,12/27/2011,513698817,01/17/2012,2497,175.75,107.73,438844.24,269010.78,169833.46
North America,United States,Vegetables,Online,H,09/19/2011,255804053,10/24/2011,4438,145.83,88.04,647194.15,390716.06,256478.09
Middle East and North Africa,Libya,Snacks,Online,M,12/23/2014,848629149,01/27/2015,7630,165.22,100.51,1260645.41,766895.71,493749.69
Middle East and North Africa,Libya,Household,Offline,M,05/08/2013,512745169,05/10/2013,7374,743.54,493.53,5482839.31,3639314.7,1843524.62
Sub-Saharan Africa,Senegal,Personal Care,Offline,M,08/05/2014,556859742,09/10/2014,5902,74.78,59.38,441374.93,350465.94,90908.99
Australia and Oceania,Fiji,Vegetables,Offline,H,05/14/2016,728671512,05/20/2016,5773,138.86,82.23,801660.17,474697.06,326963.11
Europe,Germany,Personal Care,Offline,C,04/11/2014,624136575,04/23/2014,8735,82.12,54.33,717342.98,474612.98,242730.0
Middle East and North Africa,Turkey,Meat,Online,M,12/19/2013,752941778,01/11/2014,6431,384.44,369.65,2472344.64,2377240.44,95104.2
Europe,Montenegro,Cereal,Online,H,11/20/2012,937669943,12/21/2012,8649,181.37,102.75,1568627.38,888724.75,679902.63
Central America and the Caribbean,Jamaica,Fruits,Online,M,06/01/2013,925326671,06/08/2013,8592,64.09,45.08,550662.19,387368.59,163293.6
North America,Canada,Household,Offline,C,03/30/2013,632128563,04/28/2013,420,670.64,472.9,281670.58,198619.68,83050.9
North America,Canada,Vegetables,Offline,M,02/06/2013,605772550,03/13/2013,1550,132.19,87.97,204896.13,136349.5,68546.63
Central America and the Caribbean,Cuba,Beverages,Online,M,10/21/2015,182430197,11/11/2015,4838,43.42,31.56,210079.98,152695.69,57384.29
Europe,Spain,Household,Offline,L,08/01/2011,655334124,08/27/2011,7381,617.31,438.2,4556395.71,3234377.83,1322017.88
Middle East and North Africa,Libya,Clothes,Offline,C,01/30/2012,505260595,02/20/2012,5888,92.45,34.92,544357.76,205595.35,338762.41
Middle East and North Africa,Egypt,Vegetables,Online,C,08/16/2012,640686056,09/20/2012,9652,156.08,88.06,1506530.33,849984.92,656545.41
Europe,France,Baby Food,Offline,C,01/17/2011,928203432,01/26/2011,6273,165.33,82.38,1037134.72,516741.53,520393.19
Sub-Saharan Africa,Senegal,Cereal,Online,C,06/02/2016,422690331,06/23/2016,8907,184.3,107.5,1641518.63,957499.61,684019.02
Australia and Oceania,Papua New Guinea,Baby Food,Offline,L,08/13/2013,179061847,09/05/2013,7341,140.63,94.27,1032374.65,692064.02,340310.63
Sub-Saharan Africa,Kenya,Household,Online,L,05/08/2014,783052416,05/31/2014,7789,715.35,442.12,5571831.67,3443635.94,2128195.73
Sub-Saharan Africa,Mali,Vegetables,Offline,C,01/24/2016,299868781,02/24/2016,9867,159.98,97.96,1578485.64,966587.87,611897.78
Asia,South Korea,Clothes,Offline,M,07/08/2014,788494941,07/13/2014,5440,100.61,32.08,547304.38,174506.08,372798.3
Middle East and North Africa,Libya,Office Supplies,Online,C,07/09/2013,666676417,07/18/2013,9155,576.81,511.5,5280740.36,4682794.37,597945.99
Australia and Oceania,Fiji,Personal Care,Offline,M,04/29/2011,309225876,05/09/2011,3748,77.86,60.28,291805.94,225928.22,65877.72
Australia and Oceania,Fiji,Household,Online,H,04/19/2016,600362527,05/21/2016,8715,592.11,442.64,5160212.85,3857586.37,1302626.47
Europe,Spain,Personal Care,Offline,C,01/25/2016,913488251,02/08/2016,7129,75.27,52.51,536626.04,374355.94,162270.1
Middle East and North Africa,Turkey,Fruits,Online,H,11/16/2012,254218466,12/07/2012,9760,68.55,48.41,669010.36,472514.96,196495.4
Middle East and North Africa,Libya,Cereal,Offline,L,10/18/2013,495130759,11/08/2013,302,194.78,116.08,58824.19,35056.72,23767.47
Middle East and North Africa,Morocco,Cosmetics,Online,H,09/30/2014,269892699,10/22/2014,3538,389.33,259.26,1377464.01,917279.22,460184.79
Middle East and North Africa,Morocco,Cereal,Offline,H,12/01/2014,496784683,12/25/2014,8653,180.6,115.68,1562764.16,1000979.65,561784.52
Sub-Saharan Africa,Eritrea,Cosmetics,Offline,H,02/17/2012,629667878,03/18/2012,6252,444.81,263.06,2780955.82,1644626.59,1136329.23
North America,United States,Snacks,Online,C,05/09/2011,664576770,05/14/2011,449,145.42,89.19,65294.18,40044.12,25250.06
Europe,Greece,Meat,Offline,M,11/29/2014,593827802,01/07/2015,9115,450.23,341.27,4103826.68,3110659.58,993167.1
Sub-Saharan Africa,Cape Verde,Vegetables,Online,M,08/24/2012,147380429,09/05/2012,1038,152.23,94.66,158018.99,98253.11,59765.88
Middle East and North Africa,Morocco,Clothes,Offline,H,12/29/2013,635642809,01/17/2014,2180,99.63,36.0,217202.99,78487.75,138715.23
Europe,Italy,Clothes,Online,L,11/01/2015,108074037,11/22/2015,2024,94.46,31.7,191185.65,64167.88,127017.77
Australia and Oceania,Papua New Guinea,Fruits,Offline,L,11/09/2013,478825846,11/26/2013,2564,71.93,47.01,184420.62,120535.29,63885.33
Central America and the Caribbean,Costa Rica,Snacks,Offline,C,06/18/2013,857924001,07/12/2013,594,157.58,85.94,93602.79,51045.82,42556.97
Asia,Japan,Clothes,Online,C,02/06/2014,249881373,02/18/2014,5434,107.69,37.02,585198.45,201168.34,384030.12
Asia,Vietnam,Vegetables,Online,H,04/23/2011,480535953,05/26/2011,831,133.72,91.77,111122.5,76259.25,34863.24
Asia,India,Personal Care,Online,M,01/11/2016,835504784,02/13/2016,1284,81.92,51.46,105189.55,66075.64,39113.91
North America,United States,Fruits,Offline,H,05/17/2011,476966543,06/12/2011,9029,66.23,43.76,597975.63,395110.11,202865.52
Europe,Estonia,Meat,Offline,M,09/11/2011,177647696,09/17/2011,8187,409.37,380.85,3351480.96,3117998.87,233482.09
Europe,Estonia,Snacks,Offline,L,10/04/2014,326101296,11/10/2014,8896,153.11,88.04,1362078.42,783169.32,578909.1
Middle East and North Africa,Egypt,Clothes,Offline,C,08/29/2014,166627397,10/04/2014,686,105.26,32.45,72205.36,22258.97,49946.39
North America,Canada,Vegetables,Offline,M,12/02/2014,255854165,01/01/2015,9436,135.65,85.96,1279995.24,811128.2,468867.03
Australia and Oceania,Papua New Guinea,Snacks,Online,C,04/20/2014,957876073,05/21/2014,7897,164.13,86.74,1296108.12,685001.23,611106.89
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,C,02/17/2016,239245763,03/09/2016,690,621.72,484.73,428986.67,334466.69,94519.99
North America,Mexico,Cereal,Online,C,05/11/2014,649705175,05/31/2014,9136,204.16,100.15,1865178.45,914967.42,950211.03
Middle East and North Africa,Libya,Household,Online,L,01/10/2014,762174850,01/15/2014,3671,617.19,486.27,2265707.67,1785103.43,480604.24
Asia,India,Personal Care,Offline,C,04/15/2016,749600177,05/18/2016,7876,80.36,50.48,632913.77,397558.76,235355.01
Australia and Oceania,New Zealand,Baby Food,Offline,C,05/16/2015,761329947,06/19/2015,7098,155.35,95.25,1102642.13,676088.76,426553.37
Sub-Saharan Africa,Chad,Cereal,Online,M,07/17/2011,867212361,08/20/2011,1538,191.89,103.75,295124.45,159573.64,135550.81
Europe,Greece,Clothes,Offline,H,01/14/2014,367460951,01/26/2014,8175,102.81,37.14,840492.73,303658.95,536833.78
Europe,Estonia,Clothes,Offline,L,08/17/2013,137026182,09/18/2013,2325,94.12,33.81,218823.56,78611.75,140211.81
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,C,01/13/2013,785602894,02/03/2013,1750,394.97,237.77,691197.64,416105.67,275091.97
Central America and the Caribbean,Jamaica,Office Supplies,Online,C,11/15/2013,380051608,11/17/2013,5880,629.91,540.92,3703867.06,3180621.48,523245.58
Sub-Saharan Africa,Senegal,Vegetables,Offline,M,11/09/2012,409680728,12/02/2012,2427,139.31,94.96,338116.78,230470.38,107646.4
Asia,India,Office Supplies,Online,M,01/08/2011,558148347,02/01/2011,476,675.41,477.64,321495.01,227358.62,94136.39
North America,Canada,Office Supplies,Online,M,04/07/2013,348335813,04/27/2013,2823,653.09,486.31,1843668.37,1372853.34,470815.04
Asia,China,Meat,Online,M,07/17/2013,967650688,08/14/2013,5111,397.34,377.58,2030823.18,1929807.7,101015.48
Middle East and North Africa,Morocco,Household,Online,M,08/23/2013,668723999,09/11/2013,7184,745.62,478.59,5356516.83,3438222.62,1918294.21
Central America and the Caribbean,Jamaica,Cereal,Online,C,01/30/2014,770590522,03/02/2014,8439,167.84,114.11,1416420.24,962982.24,453438.0
Asia,Japan,Vegetables,Offline,C,07/18/2013,441048701,08/13/2013,6789,160.07,87.06,1086722.08,591071.58,495650.49
Sub-Saharan Africa,Cape Verde,Cosmetics,Online,M,07/30/2011,749811393,08/10/2011,2991,446.43,240.7,1335257.57,719942.79,615314.78
Europe,Italy,Clothes,Online,C,12/27/2015,585087387,01/22/2016,3832,92.18,36.53,353231.79,139996.53,213235.26
Asia,South Korea,Cereal,Offline,H,07/31/2013,588670282,08/18/2013,7097,181.6,111.7,1288799.2,792731.31,496067.89
Sub-Saharan Africa,Mali,Fruits,Offline,M,12/12/2015,676136098,01/08/2016,8916,75.94,41.46,677060.16,369631.45,307428.71
Asia,South Korea,Beverages,Online,L,08/11/2015,473838791,08/12/2015,3831,43.64,30.86,167191.95,118214.28,48977.67
Middle East and North Africa,Egypt,Personal Care,Offline,M,05/23/2011,242547170,06/13/2011,9529,78.08,56.68,744014.11,540149.37,203864.73
Australia and Oceania,Papua New Guinea,Fruits,Offline,H,01/28/2012,353806331,03/03/2012,7375,67.56,48.66,498218.27,358902.57,139315.7
Asia,India,Beverages,Offline,H,10/09/2014,592046947,11/16/2014,4597,46.65,29.28,214449.1,134611.21,79837.89
Australia and Oceania,New Zealand,Meat,Online,L,10/08/2011,216715789,11/01/2011,4250,479.46,323.92,2037686.12,1376667.55,661018.57
Sub-Saharan Africa,Eritrea,Clothes,Offline,M,07/22/2014,484231707,07/31/2014,5076,114.54,35.85,581430.25,181971.61,399458.64
Sub-Saharan Africa,Eritrea,Fruits,Offline,L,03/12/2015,627223726,03/31/2015,7156,64.97,46.83,464926.44,335138.19,129788.25
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,M,09/22/2011,245292083,10/25/2011,1763,593.08,523.02,1045607.94,922092.4,123515.55
Sub-Saharan Africa,Cape Verde,Meat,Online,C,12/05/2015,820715624,12/07/2015,7805,440.29,377.46,3436449.91,2946084.47,490365.44
North America,Mexico,Beverages,Online,L,12/21/2013,869583371,01/20/2014,5155,43.51,31.73,224306.87,163593.74,60713.13
Central America and the Caribbean,Haiti,Household,Offline,C,07/23/2014,525109442,08/29/2014,7852,603.68,441.01,4740068.76,3462812.87,1277255.89
Central America and the Caribbean,Jamaica,Vegetables,Offline,L,04/26/2012,984009439,05/20/2012,7469,150.31,82.48,1122633.77,616041.08,506592.68
Australia and Oceania,Papua New Guinea,Personal Care,Offline,M,03/30/2013,832643733,04/28/2013,7987,80.9,58.18,646187.61,464658.3,181529.31
Asia,South Korea,Beverages,Offline,C,06/23/2012,677721749,06/27/2012,8771,47.84,32.7,419582.91,286839.65,132743.27
Europe,Estonia,Beverages,Offline,L,05/27/2015,774189221,06/19/2015,7430,50.53,27.02,375431.59,200740.22,174691.37
Central America and the Caribbean,Costa Rica,Cosmetics,Online,H,07/30/2015,215166587,08/18/2015,7617,425.3,248.65,3239501.39,1893956.14,1345545.25
Asia,Thailand,Clothes,Online,L,02/19/2016,258945980,03/03/2016,5094,111.35,31.85,567234.22,162225.96,405008.26
Asia,South Korea,Fruits,Offline,M,01/05/2016,909766644,01/26/2016,1969,66.82,44.07,131576.3,86776.14,44800.17
Australia and Oceania,Australia,Personal Care,Offline,C,04/22/2015,588932183,05/09/2015,2867,89.6,55.82,256875.33,160043.32,96832.0
North America,Canada,Meat,Online,H,06/25/2013,870631806,07/08/2013,3630,395.35,342.29,1435107.48,1242516.56,192590.92
Asia,South Korea,Office Supplies,Online,L,02/06/2014,849935036,02/18/2014,3312,603.99,521.84,2000424.1,1728343.76,272080.34
Middle East and North Africa,Egypt,Household,Online,L,05/08/2013,132672748,05/31/2013,6575,594.67,489.96,3909973.42,3221515.69,688457.73
Europe,Greece,Cereal,Online,M,08/24/2015,611328849,09/29/2015,1775,180.85,115.53,321013.45,205058.5,115954.95
Sub-Saharan Africa,Cape Verde,Snacks,Offline,H,02/10/2011,798685185,03/21/2011,5055,159.23,97.78,804900.61,494290.8,310609.81
Asia,India,Snacks,Online,M,07/16/2012,583499384,07/25/2012,7719,167.76,99.26,1294967.98,766153.11,528814.87
Asia,Vietnam,Cereal,Offline,M,01/22/2012,710474279,02/07/2012,6402,162.53,108.28,1040496.56,693238.99,347257.56
Asia,India,Baby Food,Offline,L,06/21/2016,787773028,07/17/2016,9429,165.3,84.89,1558621.7,800417.67,758204.03
Sub-Saharan Africa,Kenya,Office Supplies,Offline,M,12/25/2015,926750389,01/15/2016,1131,624.64,517.3,706467.07,585062.52,121404.54
North America,Canada,Household,Online,M,11/19/2013,676554783,12/23/2013,1475,658.15,487.61,970763.94,719224.12,251539.83
Sub-Saharan Africa,Kenya,Beverages,Online,H,07/13/2012,620431609,08/14/2012,1142,48.44,31.13,55316.01,35550.95,19765.06
North America,United States,Office Supplies,Online,L,01/07/2011,292321956,01/11/2011,9784,676.1,544.66,6614918.93,5328996.91,1285922.02
Asia,Vietnam,Snacks,Online,M,12/13/2014,279187162,01/13/2015,1830,166.77,95.59,305184.95,174930.84,130254.11
Middle East and North Africa,Saudi Arabia,Cosmetics,Offline,H,11/12/2014,218269303,11/17/2014,3416,431.07,273.2,1472544.64,933254.17,539290.47
Middle East and North Africa,Egypt,Meat,Online,M,12/29/2011,787301865,01/25/2012,2310,457.4,347.1,1056599.61,801793.17,254806.44
Australia and Oceania,Australia,Household,Online,L,04/22/2015,694439254,05/29/2015,6790,682.98,511.36,4637422.1,3472160.93,1165261.17
Sub-Saharan Africa,Mali,Meat,Offline,M,03/04/2015,682019180,03/21/2015,3808,413.74,352.9,1575524.38,1343837.61,231686.77
Central America and the Caribbean,Jamaica,Baby Food,Offline,M,12/31/2011,459273850,01/22/2012,947,148.36,95.88,140494.04,90800.89,49693.15
Central America and the Caribbean,Haiti,Snacks,Offline,L,07/30/2013,446554506,08/20/2013,359,155.43,88.64,55799.74,31821.62,23978.13
North America,Canada,Clothes,Offline,H,05/15/2013,990385379,05/26/2013,6653,114.85,37.66,764071.83,250566.64,513505.19
Australia and Oceania,Fiji,Office Supplies,Online,H,06/14/2011,723361876,07/23/2011,2568,564.12,497.55,1448650.47,1277720.22,170930.25
Middle East and North Africa,Morocco,Meat,Offline,M,09/24/2011,263129589,10/06/2011,6539,435.68,319.04,2848904.07,2086214.81,762689.26
Middle East and North Africa,Libya,Snacks,Online,M,04/02/2015,155415449,04/21/2015,5868,163.3,94.85,958234.4,556560.38,401674.02
North America,United States,Vegetables,Online,H,12/11/2014,921299606,01/04/2015,4495,147.2,97.54,661670.45,438429.83,223240.63
Asia,China,Baby Food,Offline,L,08/31/2013,776819025,09/27/2013,4700,166.03,94.76,780350.21,445379.05,334971.16
Middle East and North Africa,Turkey,Clothes,Online,H,09/14/2014,546513267,09/22/2014,7085,100.98,37.43,715434.41,265182.92,450251.49
Asia,Thailand,Clothes,Offline,L,11/02/2013,182102991,12/03/2013,1138,101.92,36.31,115986.2,41325.39,74660.8
Asia,India,Cosmetics,Online,M,11/16/2011,566929615,12/07/2011,1228,462.47,238.94,567908.13,293415.86,274492.28
Australia and Oceania,Fiji,Clothes,Offline,M,09/21/2011,437023088,10/17/2011,8734,90.36,36.67,789185.74,320232.87,468952.87
Sub-Saharan Africa,Mali,Baby Food,Offline,L,05/21/2011,181272708,05/29/2011,2236,159.7,94.79,357078.62,211950.63,145127.99
Middle East and North Africa,Morocco,Cereal,Offline,C,04/08/2015,433501357,04/17/2015,7428,180.32,100.45,1339415.42,746159.06,593256.35
Asia,India,Fruits,Offline,L,08/06/2014,196965754,08/25/2014,8550,68.24,41.19,583472.51,352189.54,231282.98
North America,United States,Snacks,Online,C,10/13/2014,413110977,10/15/2014,1498,150.11,91.11,224861.41,136483.56,88377.85
Middle East and North Africa,Egypt,Beverages,Offline,C,05/23/2014,754250615,06/06/2014,3966,43.49,27.13,172498.75,107606.15,64892.6
North America,Canada,Beverages,Offline,L,06/10/2014,244608012,07/10/2014,1557,42.91,29.5,66817.98,45926.41,20891.57
Sub-Saharan Africa,Nigeria,Baby Food,Offline,H,06/27/2012,468786441,07/07/2012,7652,158.43,82.29,1212301.73,629698.11,582603.62
Europe,Italy,Cereal,Online,M,10/08/2013,271670350,11/01/2013,6847,167.4,119.17,1146173.53,815953.0,330220.53
Europe,Germany,Beverages,Offline,M,08/06/2014,416874487,08/24/2014,7017,48.92,28.91,343287.49,202830.04,140457.45
North America,Canada,Snacks,Offline,M,12/15/2015,501518293,01/16/2016,6353,137.35,101.45,872590.02,644495.53,228094.49
Sub-Saharan Africa,Nigeria,Household,Online,L,01/30/2016,876905371,02/28/2016,7819,719.34,444.47,5624528.31,3475336.52,2149191.79
Sub-Saharan Africa,Eritrea,Cereal,Online,C,09/03/2012,709336206,09/21/2012,9011,181.52,119.02,1635692.79,1072477.95,563214.85
Middle East and North Africa,Morocco,Household,Offline,M,04/15/2012,377579676,05/11/2012,7095,585.71,448.03,4155605.58,3178755.09,976850.49
Central America and the Caribbean,Haiti,Household,Offline,C,03/14/2016,962312208,03/25/2016,4889,633.43,442.12,3096856.3,2161500.39,935355.91
Asia,India,Fruits,Offline,M,07/01/2013,988198447,08/07/2013,2588,78.15,44.78,202257.0,115900.24,86356.75
Europe,Italy,Clothes,Online,L,06/10/2013,175452392,06/17/2013,2258,103.8,34.41,234384.32,77699.1,156685.22
Europe,Montenegro,Personal Care,Online,H,01/20/2016,298601827,02/11/2016,9389,72.72,53.84,682756.56,505523.27,177233.3
North America,United States,Clothes,Online,M,07/28/2013,882516763,08/18/2013,1462,104.48,32.1,152748.86,46926.38,105822.47
Asia,India,Personal Care,Offline,M,02/23/2011,288144180,03/05/2011,7983,88.71,49.66,708168.77,396448.77,311720.0
Central America and the Caribbean,Cuba,Office Supplies,Online,M,02/16/2016,954036877,03/23/2016,675,634.39,490.43,428215.96,331039.56,97176.4
Sub-Saharan Africa,Cape Verde,Cosmetics,Online,C,06/24/2012,278914681,07/19/2012,3260,419.75,263.12,1368394.77,857756.37,510638.39
North America,Mexico,Baby Food,Online,C,11/28/2012,639234074,12/10/2012,5819,149.35,87.62,869048.81,509856.16,359192.65
Central America and the Caribbean,Cuba,Beverages,Online,C,03/05/2015,199393568,03/30/2015,6199,46.33,29.09,287181.42,180320.07,106861.35
Australia and Oceania,Papua New Guinea,Meat,Offline,C,08/30/2013,655146467,09/06/2013,4403,380.48,377.9,1675242.31,1663890.36,11351.94
Sub-Saharan Africa,Kenya,Personal Care,Online,C,12/04/2013,754242874,12/26/2013,8836,89.99,57.31,795143.73,506404.32,288739.4
Central America and the Caribbean,Cuba,Cereal,Online,L,01/07/2014,837197995,01/30/2014,9434,188.2,120.78,1775473.08,1139481.88,635991.21
North America,Canada,Office Supplies,Online,C,03/09/2012,363253791,03/20/2012,6684,678.42,470.5,4534584.96,3144809.44,1389775.52
Europe,Germany,Beverages,Online,L,01/26/2011,234526345,02/20/2011,7469,43.61,32.89,325705.69,245654.81,80050.87
Middle East and North Africa,Saudi Arabia,Meat,Offline,L,12/08/2013,273965527,01/15/2014,7606,427.35,377.31,3250414.73,2869818.94,380595.79
Sub-Saharan Africa,Nigeria,Cereal,Online,L,03/20/2016,662304819,03/25/2016,2296,168.04,120.07,385825.28,275691.17,110134.11
Asia,China,Snacks,Offline,M,03/28/2012,206102053,04/03/2012,2646,163.53,95.89,432705.77,253725.82,178979.95
Australia and Oceania,Fiji,Clothes,Online,M,01/21/2014,998444715,01/29/2014,493,91.25,37.41,44985.99,18440.93,26545.06
Asia,Vietnam,Cereal,Offline,H,08/19/2015,567693224,08/25/2015,9468,206.77,114.66,1957668.71,1085581.01,872087.69
Europe,Italy,Personal Care,Online,H,12/23/2011,827513361,01/17/2012,7187,75.52,51.85,542775.96,372671.3,170104.66
Europe,Greece,Cosmetics,Online,C,06/01/2013,778170170,06/30/2013,1297,478.81,251.07,621022.07,325641.66,295380.41
Europe,Greece,Beverages,Online,L,12/28/2011,199166685,01/05/2012,3424,43.99,28.39,150613.2,97215.03,53398.17
Asia,Japan,Meat,Online,C,01/23/2013,551860572,02/14/2013,8278,441.32,373.48,3653261.46,3091655.42,561606.04
Middle East and North Africa,Turkey,Fruits,Online,C,05/15/2016,349448617,06/05/2016,4968,77.84,47.06,386712.78,233792.85,152919.93
Asia,Thailand,Household,Offline,L,12/15/2011,721236075,12/18/2011,1677,585.07,518.53,981165.66,869579.47,111586.2
Australia and Oceania,Papua New Guinea,Beverages,Offline,M,03/03/2015,292892575,03/04/2015,8793,49.06,29.23,431396.36,257022.42,174373.94
Middle East and North Africa,Saudi Arabia,Household,Online,H,06/23/2015,431239002,08/01/2015,3930,643.03,507.6,2527116.5,1994886.52,532229.98
Middle East and North Africa,Turkey,Vegetables,Offline,H,01/10/2014,517778624,01/14/2014,2162,157.58,96.79,340684.23,209265.17,131419.06
Middle East and North Africa,Saudi Arabia,Beverages,Online,H,10/05/2015,254699641,10/10/2015,9409,42.47,32.2,399611.94,302975.65,96636.29
Central America and the Caribbean,Jamaica,Vegetables,Offline,C,10/12/2012,171719010,11/02/2012,1133,138.36,97.09,156758.21,110007.16,46751.05
North America,United States,Office Supplies,Offline,L,04/06/2012,414223382,04/10/2012,9066,695.78,504.45,6307919.27,4573348.93,1734570.34
Central America and the Caribbean,Jamaica,Office Supplies,Offline,C,03/16/2014,240916269,04/24/2014,4571,568.7,544.08,2599510.22,2486982.6,112527.62
Central America and the Caribbean,Jamaica,Clothes,Offline,C,07/30/2014,931583201,09/04/2014,3608,98.82,37.27,356524.76,134482.84,222041.91
Europe,Montenegro,Baby Food,Offline,L,06/25/2014,877431916,07/18/2014,581,149.69,90.84,86971.86,52778.39,34193.47
Sub-Saharan Africa,Chad,Personal Care,Online,M,09/11/2014,961399719,10/18/2014,6535,76.07,49.61,497127.69,324207.86,172919.83
Middle East and North Africa,Morocco,Clothes,Online,H,06/10/2016,358061131,07/08/2016,3110,108.29,35.98,336791.6,111911.64,224879.96
Sub-Saharan Africa,Mali,Beverages,Online,M,04/15/2015,112084335,05/22/2015,206,41.91,29.02,8633.51,5978.49,2655.03
North America,United States,Vegetables,Offline,C,05/18/2012,715018708,06/09/2012,8502,146.67,92.9,1247008.1,789820.98,457187.12
Asia,China,Snacks,Online,H,06/11/2011,180946128,06/20/2011,3723,158.57,94.66,590342.25,352402.36,237939.89
Sub-Saharan Africa,Cape Verde,Vegetables,Offline,L,07/17/2015,358091876,08/07/2015,2801,143.98,90.16,403301.72,252538.24,150763.48
Middle East and North Africa,Libya,Personal Care,Offline,C,05/02/2014,521916070,05/17/2014,1915,88.07,50.84,168654.74,97363.07,71291.67
Europe,Spain,Personal Care,Offline,M,02/01/2013,710617416,03/02/2013,5261,76.27,56.82,401245.25,298912.18,102333.07
Central America and the Caribbean,Haiti,Baby Food,Offline,L,01/04/2014,366219344,01/05/2014,7107,153.09,90.12,1088037.39,640483.61,447553.79
Middle East and North Africa,Egypt,Baby Food,Offline,H,03/22/2016,149039847,04/26/2016,4174,161.39,98.46,673636.61,410991.36,262645.25
Central America and the Caribbean,Haiti,Vegetables,Online,H,07/13/2013,985592965,08/01/2013,7033,144.7,90.73,1017676.29,638126.75,379549.54
Central America and the Caribbean,Jamaica,Household,Offline,C,01/25/2012,314763327,02/07/2012,8126,674.81,470.07,5483545.88,3819781.94,1663763.93
Asia,India,Snacks,Offline,C,01/23/2014,636996267,01/27/2014,9730,167.68,98.28,1631507.2,956277.6,675229.59
Central America and the Caribbean,Costa Rica,Beverages,Online,C,01/10/2012,532418417,01/13/2012,7952,51.55,30.77,409897.28,244666.82,165230.46
Middle East and North Africa,Saudi Arabia,Baby Food,Offline,C,02/23/2014,922175620,03/06/2014,140,158.3,87.01,22161.79,12181.81,9979.98
Sub-Saharan Africa,Cape Verde,Household,Online,C,12/18/2013,253580861,01/20/2014,50,655.32,497.8,32766.23,24890.13,7876.1
Central America and the Caribbean,Haiti,Cereal,Online,H,08/30/2015,708744588,09/03/2015,3766,195.01,101.56,734396.0,382460.65,351935.35
North America,Mexico,Cosmetics,Offline,C,02/08/2012,423213079,03/08/2012,6482,476.83,270.74,3090835.44,1754914.35,1335921.09
Europe,Italy,Snacks,Offline,M,06/01/2012,759711293,06/06/2012,1989,142.12,96.56,282672.85,192060.79,90612.06
Sub-Saharan Africa,Eritrea,Baby Food,Online,H,10/15/2013,981898249,10/18/2013,6242,153.11,85.83,955737.52,535773.38,419964.14
Middle East and North Africa,Egypt,Cosmetics,Online,M,05/16/2016,839209434,06/24/2016,1519,477.9,239.86,725929.25,364354.24,361575.01
Australia and Oceania,Papua New Guinea,Fruits,Offline,C,02/15/2015,174741149,02/17/2015,2850,75.32,43.86,214651.64,124999.11,89652.53
Asia,China,Personal Care,Offline,C,07/13/2012,370185192,07/19/2012,4196,76.99,49.52,323052.08,207795.17,115256.92
